epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5489,1.01621,2.80426,1.39564,0.55803,0.18073,0.39194,0.23952,1.14357,2.72513,1.66717,0.000362104,0.000362104,0.000362104
2,58.4411,1.07361,2.03595,1.41635,0.44576,0.39525,0.37637,0.22448,1.37256,2.35081,2.00553,0.000727603,0.000727603,0.000727603
3,87.755,1.11161,1.91325,1.43257,0.4009,0.3765,0.37965,0.22173,1.4823,2.40903,2.10602,0.00108821,0.00108821,0.00108821
4,116.452,1.135,1.82897,1.4619,0.20253,0.29766,0.20205,0.11005,1.68007,2.77795,2.21139,0.001089,0.001089,0.001089
5,145.118,1.13168,1.72938,1.44958,0.65384,0.23761,0.23237,0.11819,1.6052,2.80275,2.19973,0.00108167,0.00108167,0.00108167
6,174.087,1.11354,1.61132,1.4538,0.54898,0.26751,0.24547,0.13116,1.60743,2.76469,2.1574,0.00107434,0.00107434,0.00107434
7,201.807,1.08791,1.5301,1.4242,0.5039,0.38078,0.37484,0.22034,1.51156,2.13935,1.9335,0.001067,0.001067,0.001067
8,230.138,1.06067,1.45234,1.39782,0.4142,0.34705,0.36508,0.2055,1.60064,2.55312,2.16756,0.00105967,0.00105967,0.00105967
9,258.111,1.06403,1.39522,1.40159,0.50984,0.54119,0.54416,0.3426,1.30347,1.88817,1.76203,0.00105234,0.00105234,0.00105234
10,287.135,1.03097,1.2997,1.37063,0.65673,0.53835,0.57135,0.34793,1.33073,1.71562,1.77407,0.00104501,0.00104501,0.00104501
11,315.449,1.02812,1.33217,1.37515,0.54599,0.54196,0.5357,0.34771,1.2989,1.87017,1.78858,0.00103767,0.00103767,0.00103767
12,344.174,1.02305,1.25034,1.36553,0.50737,0.53339,0.55191,0.33356,1.36907,1.81879,1.83206,0.00103034,0.00103034,0.00103034
13,372.983,0.98795,1.20609,1.32751,0.74013,0.37592,0.466,0.33453,1.22995,1.95359,1.69616,0.00102301,0.00102301,0.00102301
14,401.152,1.01809,1.23858,1.35162,0.64977,0.57697,0.61194,0.37797,1.34298,1.6233,1.8277,0.00101568,0.00101568,0.00101568
15,429.553,0.96261,1.15981,1.32028,0.60561,0.47713,0.48571,0.3189,1.29792,1.81465,1.70469,0.00100834,0.00100834,0.00100834
16,457.233,0.95725,1.13559,1.318,0.69037,0.53601,0.59802,0.36992,1.40172,1.76881,1.90869,0.00100101,0.00100101,0.00100101
17,485.329,0.96785,1.14649,1.31088,0.79537,0.43991,0.52944,0.38228,1.2417,1.68288,1.69055,0.000993678,0.000993678,0.000993678
18,512.917,0.96079,1.10005,1.30458,0.6349,0.52022,0.57617,0.40015,1.20903,1.57007,1.68887,0.000986346,0.000986346,0.000986346
19,542.929,0.94667,1.04975,1.30936,0.61692,0.50793,0.51437,0.34386,1.34474,1.87454,1.80804,0.000979013,0.000979013,0.000979013
